Hand plotting file for f:\raft\samfinal.hul             05:54:18      03-15-2010
X in.         Y in.         X in-eights   Y in-eights   X mm          Y mm
162.09        -0.14         162-1/8       -0-1/8        4117.1        -3.6
132.32        -0.09         132-3/8       -0-1/8        3360.9        -2.3
102.56        -0.03         102-4/8       -0-0/8        2605.0        -0.8
75.02         0.02          75-0/8        0-0/8         1905.5        0.5
47.19         0.05          47-2/8        0-0/8         1198.6        1.3
19.34         0.09          19-3/8        0-1/8         491.2         2.3
13.10         0.12          13-1/8        0-1/8         332.7         3.0
6.55          0.10          6-4/8         0-1/8         166.4         2.5
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine2.uc     __________    __________    __________    __________    __________
-5.83         1.79          -5-7/8        1-6/8         -148.1        45.5
6.53          2.67          6-4/8         2-5/8         165.9         67.8
18.87         3.61          18-7/8        3-5/8         479.3         91.7
30.87         4.46          30-7/8        4-4/8         784.1         113.3
58.79         5.93          58-6/8        5-7/8         1493.3        150.6
86.64         6.53          86-5/8        6-4/8         2200.7        165.9
114.17        6.48          114-1/8       6-4/8         2899.9        164.6
143.94        6.00          143-8/8       6-0/8         3656.1        152.4
173.72        5.12          173-6/8       5-1/8         4412.5        130.0
203.23        3.86          203-2/8       3-7/8         5162.0        98.0
216.72        3.16          216-6/8       3-1/8         5504.7        80.3
230.23        2.41          230-2/8       2-3/8         5847.8        61.2
243.42        1.65          243-3/8       1-5/8         6182.9        41.9
238.93        -0.21         238-7/8       -0-2/8        6068.8        -5.3
227.21        0.10          227-2/8       0-1/8         5771.1        2.5
215.20        0.41          215-2/8       0-3/8         5466.1        10.4
203.20        0.67          203-2/8       0-5/8         5161.3        17.0
173.69        1.11          173-6/8       1-1/8         4411.7        28.2
143.92        1.30          143-7/8       1-2/8         3655.6        33.0
114.15        1.34          114-1/8       1-3/8         2899.4        34.0
86.62         1.34          86-5/8        1-3/8         2200.1        34.0
58.78         1.21          58-6/8        1-2/8         1493.0        30.7
30.90         0.82          30-7/8        0-7/8         784.9         20.8
20.81         0.63          20-6/8        0-5/8         528.6         16.0
10.41         0.37          10-3/8        0-3/8         264.4         9.4
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine3.uc     __________    __________    __________    __________    __________
-5.37         3.21          -5-3/8        3-2/8         -136.4        81.5
8.83          4.18          8-7/8         4-1/8         224.3         106.2
22.99         5.10          22-8/8        5-1/8         583.9         129.5
36.78         5.89          36-6/8        5-7/8         934.2         149.6
64.77         6.98          64-6/8        6-8/8         1645.2        177.3
92.64         7.39          92-5/8        7-3/8         2353.1        187.7
120.17        7.34          120-1/8       7-3/8         3052.3        186.4
149.94        6.96          149-8/8       6-8/8         3808.5        176.8
179.74        6.28          179-6/8       6-2/8         4565.4        159.5
209.28        5.28          209-2/8       5-2/8         5315.7        134.1
223.76        4.68          223-6/8       4-5/8         5683.5        118.9
223.76        4.68          223-6/8       4-5/8         5683.5        118.9
238.24        4.02          238-2/8       4-0/8         6051.3        102.1
252.43        3.36          252-3/8       3-3/8         6411.7        85.3
249.50        -0.92         249-4/8       -0-7/8        6337.3        -23.4
236.27        -0.89         236-2/8       -0-7/8        6001.3        -22.6
222.75        -0.85         222-6/8       -0-7/8        5657.8        -21.6
209.25        -0.81         209-2/8       -0-6/8        5315.0        -20.6
179.70        -0.68         179-6/8       -0-5/8        4564.4        -17.3
149.91        -0.53         149-7/8       -0-4/8        3807.7        -13.5
120.14        -0.39         120-1/8       -0-3/8        3051.6        -9.9
92.61         -0.30         92-5/8        -0-2/8        2352.3        -7.6
64.75         -0.23         64-6/8        -0-2/8        1644.7        -5.8
36.79         -0.18         36-6/8        -0-1/8        934.5         -4.6
24.76         -0.13         24-6/8        -0-1/8        628.9         -3.3
12.39         -0.06         12-3/8        -0-0/8        314.7         -1.5
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine4.uc     __________    __________    __________    __________    __________
-2.67         2.47          -2-5/8        2-4/8         -67.8         62.7
12.43         2.52          12-3/8        2-4/8         315.7         64.0
27.51         2.56          27-4/8        2-4/8         698.8         65.0
42.21         2.59          42-2/8        2-5/8         1072.1        65.8
70.20         2.62          70-2/8        2-5/8         1783.1        66.5
98.06         2.67          98-0/8        2-5/8         2490.7        67.8
125.60        2.67          125-5/8       2-5/8         3190.2        67.8
155.37        2.62          155-3/8       2-5/8         3946.4        66.5
185.18        2.54          185-1/8       2-4/8         4703.6        64.5
214.73        2.49          214-6/8       2-4/8         5454.1        63.2
229.65        2.50          229-5/8       2-4/8         5833.1        63.5
244.58        2.52          244-5/8       2-4/8         6212.3        64.0
259.22        2.55          259-2/8       2-4/8         6584.2        64.8
257.91        -0.74         257-7/8       -0-6/8        6550.9        -18.8
243.70        -1.08         243-6/8       -1-1/8        6190.0        -27.4
229.21        -1.42         229-2/8       -1-3/8        5821.9        -36.1
214.72        -1.74         214-6/8       -1-6/8        5453.9        -44.2
185.18        -2.31         185-1/8       -2-2/8        4703.6        -58.7
155.37        -2.71         155-3/8       -2-6/8        3946.4        -68.8
125.60        -2.91         125-5/8       -2-7/8        3190.2        -73.9
98.06         -2.87         98-0/8        -2-7/8        2490.7        -72.9
70.20         -2.50         70-2/8        -2-4/8        1783.1        -63.5
42.19         -1.71         42-2/8        -1-6/8        1071.6        -43.4
28.39         -1.18         28-3/8        -1-1/8        721.1         -30.0
14.21         -0.58         14-2/8        -0-5/8        360.9         -14.7
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine5.uc     __________    __________    __________    __________    __________
-0.57         3.10          -0-5/8        3-1/8         -14.5         78.7
14.68         2.88          14-5/8        2-7/8         372.9         73.2
29.92         2.67          29-7/8        2-5/8         760.0         67.8
44.81         2.49          44-6/8        2-4/8         1138.2        63.2
72.75         2.16          72-6/8        2-1/8         1847.9        54.9
100.62        1.96          100-5/8       1-8/8         2555.7        49.8
128.16        1.94          128-1/8       1-8/8         3255.3        49.3
157.93        2.10          157-7/8       2-1/8         4011.4        53.3
187.73        2.36          187-6/8       2-3/8         4768.3        59.9
217.27        2.62          217-2/8       2-5/8         5518.7        66.5
232.58        2.73          232-5/8       2-6/8         5907.5        69.3
247.90        2.82          247-7/8       2-7/8         6296.7        71.6
262.92        2.91          262-7/8       2-7/8         6678.2        73.9
261.74        -0.72         261-6/8       -0-6/8        6648.2        -18.3
247.12        -1.29         247-1/8       -1-2/8        6276.8        -32.8
232.20        -1.85         232-2/8       -1-7/8        5897.9        -47.0
217.29        -2.35         217-2/8       -2-3/8        5519.2        -59.7
187.74        -3.16         187-6/8       -3-1/8        4768.6        -80.3
157.94        -3.69         157-8/8       -3-6/8        4011.7        -93.7
128.17        -3.95         128-1/8       -3-8/8        3255.5        -100.3
100.64        -3.94         100-5/8       -3-8/8        2556.3        -100.1
72.78         -3.49         72-6/8        -3-4/8        1848.6        -88.6
44.81         -2.44         44-6/8        -2-4/8        1138.2        -62.0
30.12         -1.66         30-1/8        -1-5/8        765.0         -42.2
15.08         -0.80         15-1/8        -0-6/8        383.0         -20.3
0.00          0.00          0-0/8         0-0/8         0.0           0.0
chine6.uc     __________    __________    __________    __________    __________
2.15          1.99          2-1/8         1-8/8         54.6          50.5
16.64         1.43          16-5/8        1-3/8         422.7         36.3
31.14         0.96          31-1/8        0-8/8         791.0         24.4
45.33         0.57          45-3/8        0-5/8         1151.4        14.5
73.21         0.00          73-2/8        0-0/8         1859.5        0.0
101.06        -0.29         101-0/8       -0-2/8        2566.9        -7.4
128.60        -0.35         128-5/8       -0-3/8        3266.4        -8.9
158.36        -0.22         158-3/8       -0-2/8        4022.3        -5.6
188.14        0.14          188-1/8       0-1/8         4778.8        3.6
217.66        0.72          217-5/8       0-6/8         5528.6        18.3
232.86        1.12          232-7/8       1-1/8         5914.6        28.4
248.07        1.57          248-1/8       1-5/8         6301.0        39.9
262.98        2.02          262-8/8       2-0/8         6679.7        51.3
263.27        -0.23         263-2/8       -0-2/8        6687.1        -5.8
248.27        -1.00         248-2/8       -1-0/8        6306.1        -25.4
